时间,记录
2022-07-24 16:14:12,吉他
2022-07-24 16:15:10,圆号
2022-07-24 16:16:08,架子鼓
2022-07-24 16:17:06,圆号
2022-07-24 16:18:04,小提琴
2022-07-24 16:19:02,钢琴
2022-07-24 16:20:00,吉他
2022-07-24 16:20:58,钢琴
2022-07-24 16:21:56,贝斯
2022-07-24 16:22:54,钢琴
2022-07-24 16:23:52,吉他
2022-07-24 16:24:50,吉他
2022-07-24 16:25:48,吉他
2022-07-24 16:26:46,圆号
2022-07-24 16:27:44,贝斯
2022-07-24 16:28:42,钢琴
2022-07-24 16:29:40,圆号
2022-07-24 16:30:38,小提琴
2022-07-24 16:31:36,钢琴
2022-07-24 16:32:34,吉他
2022-07-24 16:33:32,小提琴
2022-07-24 16:34:30,吉他
2022-07-24 16:35:28,贝斯
2022-07-24 16:36:26,萨克斯
2022-07-24 16:37:24,钢琴
2022-07-24 16:38:22,吉他
2022-07-24 16:39:20,吉他
2022-07-24 16:40:18,贝斯
2022-07-24 16:41:16,吉他
2022-07-24 16:42:14,钢琴
2022-07-24 16:43:12,贝斯
2022-07-24 16:44:10,贝斯
2022-07-24 16:45:08,吉他
2022-07-24 16:46:06,小提琴
2022-07-24 16:47:04,钢琴
2022-07-24 16:48:02,贝斯
2022-07-24 16:49:00,竖琴
2022-07-24 16:49:58,吉他
2022-07-24 16:50:56,小提琴
2022-07-24 16:51:54,吉他
2022-07-24 16:52:52,吉他
2022-07-24 16:53:50,钢琴
2022-07-24 16:54:48,小提琴
2022-07-24 16:55:46,贝斯
2022-07-24 16:56:44,钢琴
2022-07-24 16:57:42,钢琴
2022-07-24 16:58:40,钢琴
2022-07-24 16:59:38,小提琴
2022-07-24 17:00:36,架子鼓
2022-07-24 17:01:34,贝斯
2022-07-24 17:02:32,贝斯
2022-07-24 17:03:30,钢琴
2022-07-24 17:04:28,钢琴
2022-07-24 17:05:26,钢琴
2022-07-24 17:06:24,小提琴
2022-07-24 17:07:22,贝斯
2022-07-24 17:08:20,架子鼓
2022-07-24 17:09:18,贝斯
2022-07-24 17:10:16,钢琴
2022-07-24 17:11:14,钢琴
2022-07-24 17:12:12,小提琴
2022-07-24 17:13:10,小提琴
2022-07-24 17:14:08,吉他
2022-07-24 17:15:06,钢琴
2022-07-24 17:16:04,贝斯
2022-07-24 17:17:02,钢琴
2022-07-24 17:18:00,贝斯
2022-07-24 17:18:58,贝斯
2022-07-24 17:19:56,架子鼓
2022-07-24 17:20:54,吉他
2022-07-24 17:21:52,圆号
2022-07-24 17:22:50,钢琴
2022-07-24 17:23:48,吉他
2022-07-24 17:24:46,钢琴
