模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-01 22:04:26 钢琴。本次回收：125。总投入：186，总回收：390，实际收益：76，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-01 22:28:36 吉他。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-01 22:33:26 竖琴。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-01 22:35:22 钢琴。本次回收：125。总投入：62，总回收：125，实际收益：22，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-01 22:36:20 小提琴。本次回收：5。总投入：64，总回收：130，实际收益：23，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-01 22:42:08 贝斯。本次回收：0。，总投入：66，总回收：130，实际收益：21，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【命中】。2022-12-01 22:50:50 小提琴。本次回收：25。总投入：76，总回收：155，实际收益：28，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-01 22:51:48 小提琴。本次回收：5。总投入：78，总回收：160，实际收益：29，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-01 23:04:22 架子鼓。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-01 23:13:04 小提琴。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-01 23:18:52 架子鼓。本次回收：0。，总投入：62，总回收：0，实际收益：-57，开关=1
****************************************
模拟下注：贝斯,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-01 23:21:46 钢琴。本次回收：0。，总投入：312，总回收：0，实际收益：-287，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-01 23:28:32 架子鼓。本次回收：0。，总投入：314，总回收：0，实际收益：-288，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-01 23:32:24 竖琴。本次回收：0。，总投入：324，总回收：0，实际收益：-298，开关=1
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-01 23:42:04 架子鼓。本次回收：0。，总投入：374，总回收：0，实际收益：-344，开关=1
****************************************
模拟下注：钢琴,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-01 23:50:46 吉他。本次回收：0。，总投入：624，总回收：0，实际收益：-574，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-01 23:54:38 贝斯。本次回收：0。，总投入：626，总回收：0，实际收益：-575，开关=1
****************************************
模拟下注：小提琴,5 | 吉他,5 | 模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-02 00:14:56 吉他。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 00:29:26 贝斯。本次回收：25。总投入：12，总回收：25，实际收益：4，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-02 00:32:20 钢琴。本次回收：0。，总投入：14，总回收：25，实际收益：2，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-02 00:40:04 贝斯。本次回收：25。总投入：24，总回收：50，实际收益：9，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 00:57:28 贝斯。本次回收：0。，总投入：26，总回收：50，实际收益：7，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-02 01:02:18 小提琴。本次回收：25。总投入：36，总回收：75，实际收益：14，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-02 01:06:10 钢琴。本次回收：5。总投入：38，总回收：80，实际收益：15，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-02 01:07:08 架子鼓。本次回收：0。，总投入：40，总回收：80，实际收益：13，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-02 01:28:24 钢琴。本次回收：0。，总投入：50，总回收：80，实际收益：4，开关=1
****************************************
