模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 16:46:52 钢琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 16:48:48 竖琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 16:50:44 贝斯。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-14 17:00:24 钢琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-14 17:11:02 圆号。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=2
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-14 17:18:46 贝斯。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-14 17:23:36 小提琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-14 17:34:14 钢琴。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-14 18:02:16 贝斯。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-14 18:04:12 钢琴。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：贝斯,10 | 吉他,10 | 下注结果：【命中】。2022-12-14 18:08:04 吉他。本次回收：50。总投入：22，总回收：50，实际收益：11，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-14 18:09:02 吉他。本次回收：5。总投入：24，总回收：55，实际收益：12，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-14 18:10:00 吉他。本次回收：5。总投入：26，总回收：60，实际收益：14，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-14 18:10:58 钢琴。本次回收：0。，总投入：28，总回收：60，实际收益：12，开关=1
****************************************
模拟下注：小提琴,10 | 贝斯,10 | 下注结果：【命中】。2022-12-14 18:19:40 小提琴。本次回收：50。总投入：48，总回收：110，实际收益：25，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-14 18:20:38 钢琴。本次回收：0。，总投入：50，总回收：110，实际收益：23，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-14 20:24:22 吉他。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：贝斯,10 | 钢琴,10 | 下注结果：【命中】。2022-12-14 20:36:56 钢琴。本次回收：50。总投入：22，总回收：50，实际收益：11，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-14 20:42:44 贝斯。本次回收：0。，总投入：24，总回收：50，实际收益：9，开关=2
****************************************
模拟下注：钢琴,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-14 20:43:42 架子鼓。本次回收：0。，总投入：44，总回收：50，实际收益：-8，开关=1
****************************************
模拟下注：贝斯,100 | 小提琴,100 | 下注结果：【未命中】。2022-12-14 20:45:38 吉他。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-14 20:49:30 架子鼓。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-14 21:05:56 萨克斯风。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=2
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-14 21:08:50 贝斯。本次回收：0。总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-14 21:09:48 贝斯。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=2
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-14 21:10:46 萨克斯风。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-14 21:15:36 竖琴。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-14 21:17:32 吉他。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=2
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-14 21:18:30 萨克斯风。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-14 21:20:26 吉他。本次回收：0。总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-14 21:25:16 小提琴。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=2
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-14 21:27:12 架子鼓。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 21:45:34 小提琴。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 21:49:26 小提琴。本次回收：0。，总投入：244，总回收：50，实际收益：-192，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-14 22:02:58 贝斯。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-14 22:03:56 钢琴。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-14 22:04:54 吉他。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【未命中】。2022-12-14 22:09:44 架子鼓。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=2
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-14 22:14:34 小提琴。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-14 22:15:32 钢琴。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-14 22:23:16 吉他。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=2
****************************************
模拟下注：吉他,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-14 22:26:10 贝斯。本次回收：0。，总投入：22，总回收：0，实际收益：-20，开关=1
****************************************
模拟下注：钢琴,100 | 吉他,100 | 下注结果：【未命中】。2022-12-14 22:31:00 萨克斯风。本次回收：0。，总投入：222，总回收：0，实际收益：-204，开关=2
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-14 22:49:22 贝斯。本次回收：0。总投入：222，总回收：0，实际收益：-204，开关=1
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【命中】。2022-12-14 22:54:12 小提琴。本次回收：0。总投入：222，总回收：0，实际收益：-204，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-14 23:05:48 吉他。本次回收：0。，总投入：224，总回收：0，实际收益：-206，开关=2
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-14 23:08:42 吉他。本次回收：0。，总投入：244，总回收：0，实际收益：-224，开关=1
****************************************
模拟下注：小提琴,100 | 钢琴,100 | 下注结果：【未命中】。2022-12-14 23:11:36 吉他。本次回收：0。，总投入：444，总回收：0，实际收益：-408，开关=2
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-14 23:17:24 竖琴。本次回收：0。，总投入：444，总回收：0，实际收益：-408，开关=2
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-14 23:18:22 吉他。本次回收：0。总投入：444，总回收：0，实际收益：-408，开关=1
****************************************
