模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-16 16:10:48 贝斯。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-16 16:11:46 吉他。本次回收：0。，总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-16 16:18:32 贝斯。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-16 16:25:18 吉他。本次回收：0。总投入：0，总回收：0，实际收益：0，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-16 16:26:16 圆号。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：钢琴,10 | 吉他,10 | 下注结果：【未命中】。2022-12-16 16:32:04 小提琴。本次回收：0。，总投入：22，总回收：0，实际收益：-20，开关=1
****************************************
模拟下注：吉他,100 | 小提琴,100 | 下注结果：【未命中】。2022-12-16 16:37:52 钢琴。本次回收：0。，总投入：222，总回收：0，实际收益：-204，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-16 16:45:36 小提琴。本次回收：5。总投入：224，总回收：5，实际收益：-202，开关=1
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-16 16:53:20 架子鼓。本次回收：0。，总投入：226，总回收：5，实际收益：-204，开关=1
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【命中】。2022-12-16 16:55:16 小提琴。本次回收：50。总投入：246，总回收：55，实际收益：-191，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 16:56:14 吉他。本次回收：0。，总投入：246，总回收：55，实际收益：-191，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-16 17:00:06 吉他。本次回收：0。总投入：246，总回收：55，实际收益：-191，开关=1
****************************************
模拟下注：钢琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-16 17:05:54 萨克斯风。本次回收：0。，总投入：246，总回收：55，实际收益：-191，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-16 17:09:46 小提琴。本次回收：0。总投入：246，总回收：55，实际收益：-191，开关=1
****************************************
模拟下注：贝斯,0 | 吉他,0 | 下注结果：【命中】。2022-12-16 17:11:42 贝斯。本次回收：0。总投入：246，总回收：55，实际收益：-191，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-16 17:12:40 吉他。本次回收：5。总投入：248，总回收：60，实际收益：-190，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-16 17:18:28 小提琴。本次回收：0。，总投入：250，总回收：60，实际收益：-191，开关=1
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-16 17:28:08 贝斯。本次回收：0。，总投入：270，总回收：60，实际收益：-210，开关=1
****************************************
模拟下注：贝斯,100 | 钢琴,100 | 下注结果：【未命中】。2022-12-16 17:30:04 小提琴。本次回收：0。，总投入：470，总回收：60，实际收益：-394，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-16 17:40:42 吉他。本次回收：5。总投入：472，总回收：65，实际收益：-392，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-16 17:41:40 架子鼓。本次回收：0。，总投入：474，总回收：65，实际收益：-394，开关=1
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-16 17:45:32 贝斯。本次回收：0。，总投入：494，总回收：65，实际收益：-413，开关=1
****************************************
模拟下注：钢琴,100 | 小提琴,100 | 下注结果：【命中】。2022-12-16 17:49:24 小提琴。本次回收：500。总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：钢琴,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-16 17:50:22 贝斯。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【命中】。2022-12-16 17:58:06 贝斯。本次回收：0。总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-16 17:59:04 吉他。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-16 18:05:50 架子鼓。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 18:08:44 吉他。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【命中】。2022-12-16 18:13:34 钢琴。本次回收：0。总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 18:24:12 吉他。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 18:31:56 小提琴。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 18:41:36 吉他。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 18:55:08 小提琴。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【命中】。2022-12-16 19:02:52 吉他。本次回收：0。总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：小提琴,0 | 吉他,0 | 下注结果：【未命中】。2022-12-16 19:03:50 贝斯。本次回收：0。，总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：钢琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-16 19:06:44 贝斯。本次回收：0。总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【命中】。2022-12-16 19:07:42 吉他。本次回收：0。总投入：694，总回收：565，实际收益：-279，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-16 19:12:32 小提琴。本次回收：0。，总投入：696，总回收：565，实际收益：-281，开关=1
****************************************
模拟下注：小提琴,10 | 钢琴,10 | 下注结果：【未命中】。2022-12-16 19:16:24 吉他。本次回收：0。，总投入：716，总回收：565，实际收益：-299，开关=1
****************************************
模拟下注：贝斯,100 | 吉他,100 | 下注结果：【命中】。2022-12-16 19:19:18 贝斯。本次回收：500。总投入：916，总回收：1065，实际收益：-166，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-16 19:27:02 架子鼓。本次回收：0。，总投入：918，总回收：1065，实际收益：-168，开关=1
****************************************
模拟下注：小提琴,10 | 吉他,10 | 下注结果：【命中】。2022-12-16 19:36:42 小提琴。本次回收：50。总投入：938，总回收：1115，实际收益：-154，开关=1
****************************************
模拟下注：贝斯,0 | 钢琴,0 | 下注结果：【命中】。2022-12-16 19:51:12 钢琴。本次回收：0。总投入：938，总回收：1115，实际收益：-154，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-16 19:54:06 吉他。本次回收：0。，总投入：940，总回收：1115，实际收益：-156，开关=1
****************************************
模拟下注：小提琴,10 | 贝斯,10 | 下注结果：【未命中】。2022-12-16 19:57:00 架子鼓。本次回收：0。，总投入：960，总回收：1115，实际收益：-175，开关=1
****************************************
模拟下注：小提琴,100 | 吉他,100 | 下注结果：【命中】。2022-12-16 19:59:54 吉他。本次回收：500。总投入：1160，总回收：1615，实际收益：-41，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-16 20:22:08 钢琴。本次回收：5。总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 20:23:06 竖琴。本次回收：0。，总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：小提琴,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 20:28:54 吉他。本次回收：0。，总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：吉他,0 | 贝斯,0 | 下注结果：【未命中】。2022-12-16 20:32:46 架子鼓。本次回收：0。，总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-16 20:42:26 吉他。本次回收：0。总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【未命中】。2022-12-16 20:43:24 竖琴。本次回收：0。，总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：吉他,0 | 钢琴,0 | 下注结果：【命中】。2022-12-16 20:44:22 吉他。本次回收：0。总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：吉他,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-16 20:45:20 钢琴。本次回收：0。，总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：小提琴,0 | 贝斯,0 | 下注结果：【命中】。2022-12-16 20:48:14 小提琴。本次回收：0。总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 下注结果：【未命中】。2022-12-16 20:51:08 架子鼓。本次回收：0。，总投入：1162，总回收：1620，实际收益：-40，开关=1
****************************************
模拟下注：贝斯,0 | 小提琴,0 | 
