同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 16:41:08 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 16:44:02 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 16:47:54 圆号。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-20 16:49:50 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-20 16:51:46 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-20 16:52:44 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-20 16:53:42 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-20 16:55:38 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-20 16:56:36 萨克斯风。本次回收：0。总投入：2。总回收：0。总收益：-1。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 吉他,10 | 买入结果：【未命中】。2022-12-20 16:59:30 小提琴。本次回收：0。总投入：22。总回收：0。总收益：-20。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 吉他,100 | 买入结果：【命中】。2022-12-20 17:02:24 贝斯。本次回收：500。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-20 17:03:22 吉他。本次回收：0。总投入：222。总回收：500。总收益：113。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-20 17:05:18 钢琴。本次回收：0。总投入：224。总回收：500。总收益：111。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：贝斯,10 | 小提琴,10 | 买入结果：【命中】。2022-12-20 17:07:14 贝斯。本次回收：50。总投入：244。总回收：550。总收益：124。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-20 17:11:06 吉他。本次回收：5。总投入：246。总回收：555。总收益：126。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-20 17:12:04 小提琴。本次回收：0。总投入：248。总回收：555。总收益：124。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-20 17:16:54 吉他。本次回收：0。总投入：268。总回收：555。总收益：105。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：贝斯,100 | 小提琴,100 | 买入结果：【命中】。2022-12-20 17:20:46 小提琴。本次回收：500。总投入：468。总回收：1055。总收益：239。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 17:31:24 贝斯。本次回收：0。总投入：468。总回收：1055。总收益：239。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-20 17:37:12 竖琴。本次回收：0。总投入：468。总回收：1055。总收益：239。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-20 17:43:58 吉他。本次回收：0。总投入：468。总回收：1055。总收益：239。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-20 17:47:50 小提琴。本次回收：0。总投入：468。总回收：1055。总收益：239。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-20 17:59:26 贝斯。本次回收：5。总投入：470。总回收：1060。总收益：240。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 买入结果：【命中】。2022-12-20 18:00:24 吉他。本次回收：5。总投入：472。总回收：1065。总收益：242。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-20 18:13:56 萨克斯风。本次回收：0。总投入：474。总回收：1065。总收益：240。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 吉他,10 | 买入结果：【未命中】。2022-12-20 18:24:34 架子鼓。本次回收：0。总投入：494。总回收：1065。总收益：221。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：钢琴,100 | 吉他,100 | 买入结果：【未命中】。2022-12-20 18:27:28 贝斯。本次回收：0。总投入：694。总回收：1065。总收益：37。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【命中】。2022-12-20 18:29:24 钢琴。本次回收：5。总投入：696。总回收：1070。总收益：39。
