同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 08:14:38 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 08:15:36 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 08:20:26 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 08:21:24 圆号。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 08:24:18 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 08:25:16 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 08:27:12 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 08:30:06 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 08:33:00 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 08:33:58 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-23 08:34:56 贝斯。本次回收：0。总投入：2。总回收：0。总收益：-1。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 贝斯,10 | 买入结果：【未命中】。2022-12-23 08:36:52 钢琴。本次回收：0。总投入：22。总回收：0。总收益：-20。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：钢琴,100 | 贝斯,100 | 买入结果：【未命中】。2022-12-23 08:40:44 萨克斯风。本次回收：0。总投入：222。总回收：0。总收益：-204。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 08:44:36 圆号。本次回收：0。总投入：224。总回收：0。总收益：-206。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-23 08:47:30 贝斯。本次回收：0。总投入：244。总回收：0。总收益：-224。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：吉他,100 | 贝斯,100 | 买入结果：【命中】。2022-12-23 08:49:26 吉他。本次回收：500。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 08:50:24 吉他。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 08:51:22 小提琴。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 09:09:44 竖琴。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 09:13:36 竖琴。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 09:15:32 贝斯。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 09:17:28 钢琴。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 09:19:24 钢琴。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 09:24:14 小提琴。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 09:25:12 吉他。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 09:26:10 吉他。本次回收：0。总投入：444。总回收：500。总收益：-90。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【未命中】。2022-12-23 09:31:00 架子鼓。本次回收：0。总投入：446。总回收：500。总收益：-92。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 09:51:18 小提琴。本次回收：0。总投入：446。总回收：500。总收益：-92。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 09:52:16 吉他。本次回收：0。总投入：446。总回收：500。总收益：-92。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 10:00:00 贝斯。本次回收：0。总投入：446。总回收：500。总收益：-92。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 10:26:06 贝斯。本次回收：0。总投入：446。总回收：500。总收益：-92。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-23 10:27:04 架子鼓。本次回收：0。总投入：448。总回收：500。总收益：-94。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 吉他,10 | 买入结果：【命中】。2022-12-23 10:29:00 吉他。本次回收：50。总投入：468。总回收：550。总收益：-81。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-23 10:29:58 吉他。本次回收：0。总投入：470。总回收：550。总收益：-83。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：钢琴,10 | 小提琴,10 | 买入结果：【未命中】。2022-12-23 10:37:42 架子鼓。本次回收：0。总投入：490。总回收：550。总收益：-101。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：钢琴,100 | 贝斯,100 | 买入结果：【命中】。2022-12-23 10:41:34 贝斯。本次回收：500。总投入：690。总回收：1050。总收益：31。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 10:43:30 钢琴。本次回收：0。总投入：690。总回收：1050。总收益：31。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【命中】。2022-12-23 10:44:28 吉他。本次回收：5。总投入：692。总回收：1055。总收益：33。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-23 10:45:26 贝斯。本次回收：0。总投入：694。总回收：1055。总收益：31。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 钢琴,10 | 买入结果：【未命中】。2022-12-23 10:51:14 架子鼓。本次回收：0。总投入：714。总回收：1055。总收益：13。
同意买入。买入操作配置【开启】。买入计量为200。模拟买入：小提琴,100 | 吉他,100 | 买入结果：【未命中】。2022-12-23 10:53:10 钢琴。本次回收：0。总投入：914。总回收：1055。总收益：-170。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-23 10:56:04 小提琴。本次回收：0。总投入：916。总回收：1055。总收益：-172。
同意买入。买入操作配置【开启】。买入计量为20。模拟买入：小提琴,10 | 钢琴,10 | 买入结果：【命中】。2022-12-23 11:06:42 钢琴。本次回收：50。总投入：936。总回收：1105。总收益：-159。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 11:10:34 小提琴。本次回收：0。总投入：936。总回收：1105。总收益：-159。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-23 11:14:26 萨克斯风。本次回收：0。总投入：936。总回收：1105。总收益：-159。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 11:17:20 吉他。本次回收：0。总投入：936。总回收：1105。总收益：-159。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 小提琴,1 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-23 11:28:56 贝斯。本次回收：0。总投入：938。总回收：1105。总收益：-161。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-23 12:00:50 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 12:03:44 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 12:04:42 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-23 12:05:40 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 12:08:34 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 12:11:28 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 12:16:18 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 12:22:06 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-23 12:25:58 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-23 12:45:18 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 12:51:06 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-23 12:53:02 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
