买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 22:10:30 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 22:21:08 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 22:22:06 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 22:23:04 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 22:25:00 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 22:26:56 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 22:34:40 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 22:37:34 圆号。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 22:40:28 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 22:43:22 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 22:44:20 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 22:45:18 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 22:58:50 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 23:05:36 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 23:08:30 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 23:12:22 竖琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 23:14:18 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 23:16:14 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 23:20:06 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 23:23:00 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 23:23:58 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 23:25:54 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 23:33:38 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 23:50:04 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 08:02:06 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 08:03:04 萨克斯风。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:05:00 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 08:07:54 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 08:10:48 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:11:46 圆号。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 08:13:42 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 08:20:28 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:22:24 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 08:25:18 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 08:26:16 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 08:28:12 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:29:10 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:31:06 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 08:34:58 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 08:35:56 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 08:39:48 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 08:42:42 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 08:44:38 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
