买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 10:13:34 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 10:15:30 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 10:16:28 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 10:19:22 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-26 10:23:14 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 10:24:12 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-26 10:28:04 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-26 10:30:00 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 10:30:58 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 10:32:54 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 10:33:52 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 10:35:48 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 10:37:44 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 10:42:34 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 10:56:06 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-26 10:57:04 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
买入=开启，买入计量为2，买入：小提琴,0 | 贝斯,0 | 买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-26 11:08:40 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 11:14:28 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 11:17:22 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 11:18:20 架子鼓。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 11:25:06 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-26 11:29:56 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 11:35:44 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-26 11:36:42 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-26 11:39:36 贝斯。本次回收：0。总投入：2。总回收：0。总收益：-1。
