回合：16，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 08:16:56 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：21，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 08:21:46 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：34，买入=未开启，买入计量为0，买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-27 08:34:20 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：38，买入=未开启，买入计量为0，买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 08:38:12 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：44，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 08:44:00 吉他。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：48，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 08:47:52 圆号。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：54，买入=未开启，买入计量为0，买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-27 08:53:40 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：69，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 09:08:10 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：71，买入=未开启，买入计量为0，买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 09:10:06 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：73，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 09:12:02 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：75，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-27 09:13:58 架子鼓。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：85，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-27 09:23:38 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：89，买入=未开启，买入计量为0，买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-27 09:27:30 贝斯。本次回收：0。总投入：0。总回收：0。总收益：0。
回合：91，买入=开启，买入计量为2，买入：小提琴,1 | 贝斯,1 | 回合：10，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 09:39:06 贝斯。本次回收：0。总投入：2。总回收：0。总收益：-1。
回合：16，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 09:44:54 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
回合：17，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-27 09:45:52 钢琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
回合：21，买入=未开启，买入计量为0，买入：吉他,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 09:49:44 小提琴。本次回收：0。总投入：2。总回收：0。总收益：-1。
回合：25，买入=未开启，买入计量为0，买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-27 09:53:36 吉他。本次回收：0。总投入：2。总回收：0。总收益：-1。
回合：39，买入=未开启，买入计量为0，买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-27 10:07:08 贝斯。本次回收：0。总投入：2。总回收：0。总收益：-1。
回合：51，买入=开启，买入计量为2，买入：钢琴,1 | 小提琴,1 | 回合：25，买入=未开启，买入计量为0，买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-27 10:44:50 钢琴。本次回收：0。总投入：4。总回收：0。总收益：-3。
