第0次训练后，新的数据集测试
误差范围：1.4002952575683594
胜 | 实际值：2.0 | 预测值（含误差范围）：2.201855182647705
负 | 实际值：-3.0 | 预测值（含误差范围）：0.2205512523651123
负 | 实际值：1.0 | 预测值（含误差范围）：2.394805610179901
负 | 实际值：-1.0 | 预测值（含误差范围）：1.7264403998851776
负 | 实际值：1.0 | 预测值（含误差范围）：4.186281204223633
负 | 实际值：0.0 | 预测值（含误差范围）：1.8600723147392273
负 | 实际值：-1.0 | 预测值（含误差范围）：2.2620177268981934
负 | 实际值：1.0 | 预测值（含误差范围）：4.401040554046631
负 | 实际值：1.0 | 预测值（含误差范围）：2.536597967147827
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6622332036495209
胜 | 实际值：3.0 | 预测值（含误差范围）：3.4320666790008545
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.07776510715484619
负 | 实际值：0.0 | 预测值（含误差范围）：2.634179949760437
胜 | 实际值：4.0 | 预测值（含误差范围）：3.821676731109619
胜 | 实际值：-2.0 | 预测值（含误差范围）：-1.1310710906982422
负 | 实际值：-2.0 | 预测值（含误差范围）：1.025034338235855
胜 | 实际值：3.0 | 预测值（含误差范围）：3.485490322113037
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.02171766757965088
负 | 实际值：1.0 | 预测值（含误差范围）：3.544473648071289
负 | 实际值：-1.0 | 预测值（含误差范围）：3.4536495208740234
第1次训练后，新的数据集测试
误差范围：1.4790570735931396
负 | 实际值：4.0 | 预测值（含误差范围）：2.259511113166809
负 | 实际值：-1.0 | 预测值（含误差范围）：-3.966055154800415
负 | 实际值：0.0 | 预测值（含误差范围）：-1.2801306247711182
负 | 实际值：0.0 | 预测值（含误差范围）：-1.112058401107788
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.713273286819458
负 | 实际值：0.0 | 预测值（含误差范围）：1.4614094868302345
负 | 实际值：-1.0 | 预测值（含误差范围）：1.3062999248504639
负 | 实际值：0.0 | 预测值（含误差范围）：2.9898382425308228
负 | 实际值：2.0 | 预测值（含误差范围）：5.960308313369751
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8811237812042236
负 | 实际值：-1.0 | 预测值（含误差范围）：0.3854551315307617
负 | 实际值：2.0 | 预测值（含误差范围）：4.754975080490112
胜 | 实际值：2.0 | 预测值（含误差范围）：2.0374099612236023
胜 | 实际值：-1.0 | 预测值（含误差范围）：-1.1662538051605225
负 | 实际值：-1.0 | 预测值（含误差范围）：0.6324557065963745
负 | 实际值：2.0 | 预测值（含误差范围）：0.24657559394836426
负 | 实际值：-3.0 | 预测值（含误差范围）：-1.2398250102996826
胜 | 实际值：1.0 | 预测值（含误差范围）：1.4368724711239338
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.29668331146240234
胜 | 实际值：2.0 | 预测值（含误差范围）：2.6922301054000854
第2次训练后，新的数据集测试
误差范围：2.4038851261138916
负 | 实际值：-1.0 | 预测值（含误差范围）：6.831636667251587
胜 | 实际值：1.0 | 预测值（含误差范围）：1.8982341885566711
负 | 实际值：1.0 | 预测值（含误差范围）：2.010758399963379
负 | 实际值：-2.0 | 预测值（含误差范围）：1.5036848187446594
负 | 实际值：4.0 | 预测值（含误差范围）：1.761875867843628
负 | 实际值：-4.0 | 预测值（含误差范围）：1.2557622194290161
负 | 实际值：3.0 | 预测值（含误差范围）：1.800322949886322
胜 | 实际值：1.0 | 预测值（含误差范围）：1.3531811237335205
负 | 实际值：-2.0 | 预测值（含误差范围）：1.5639919638633728
负 | 实际值：0.0 | 预测值（含误差范围）：1.7570675015449524
胜 | 实际值：1.0 | 预测值（含误差范围）：1.80343896150589
负 | 实际值：-2.0 | 预测值（含误差范围）：3.2328564524650574
负 | 实际值：-1.0 | 预测值（含误差范围）：1.918254792690277
胜 | 实际值：2.0 | 预测值（含误差范围）：2.4152000192552805
胜 | 实际值：1.0 | 预测值（含误差范围）：1.583258330821991
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6443642973899841
胜 | 实际值：2.0 | 预测值（含误差范围）：1.7725250124931335
负 | 实际值：-3.0 | 预测值（含误差范围）：1.5938339233398438
负 | 实际值：-1.0 | 预测值（含误差范围）：1.9825266003608704
负 | 实际值：3.0 | 预测值（含误差范围）：1.6499667763710022
胜 | 实际值：1.0 | 预测值（含误差范围）：1.3428914546966553
负 | 实际值：-2.0 | 预测值（含误差范围）：1.912296622991562
胜 | 实际值：1.0 | 预测值（含误差范围）：1.7799674272537231
胜 | 实际值：1.0 | 预测值（含误差范围）：1.5693395733833313
负 | 实际值：-1.0 | 预测值（含误差范围）：2.783489614725113
负 | 实际值：-1.0 | 预测值（含误差范围）：1.9474222660064697
负 | 实际值：-2.0 | 预测值（含误差范围）：5.169689893722534
胜 | 实际值：4.0 | 预测值（含误差范围）：4.2059937715530396
负 | 实际值：0.0 | 预测值（含误差范围）：1.515255331993103
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6620308756828308
负 | 实际值：-2.0 | 预测值（含误差范围）：1.8304384350776672
胜 | 实际值：3.0 | 预测值（含误差范围）：3.0020740032196045
负 | 实际值：-3.0 | 预测值（含误差范围）：1.423263967037201
负 | 实际值：1.0 | 预测值（含误差范围）：4.862887382507324
负 | 实际值：0.0 | 预测值（含误差范围）：3.390877604484558
负 | 实际值：1.0 | 预测值（含误差范围）：5.593841314315796
负 | 实际值：-1.0 | 预测值（含误差范围）：2.653000846505165
负 | 实际值：-1.0 | 预测值（含误差范围）：7.2550623416900635
负 | 实际值：0.0 | 预测值（含误差范围）：3.3121320009231567
负 | 实际值：2.0 | 预测值（含误差范围）：3.343896508216858
负 | 实际值：1.0 | 预测值（含误差范围）：7.949701547622681
负 | 实际值：-3.0 | 预测值（含误差范围）：5.601054430007935
负 | 实际值：0.0 | 预测值（含误差范围）：6.940672159194946
负 | 实际值：1.0 | 预测值（含误差范围）：9.459994077682495
负 | 实际值：-1.0 | 预测值（含误差范围）：7.2447779178619385
负 | 实际值：3.0 | 预测值（含误差范围）：8.663275957107544
第4次训练后，新的数据集测试
误差范围：1.2916051149368286
负 | 实际值：1.0 | 预测值（含误差范围）：-0.36089324951171875
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.7914854288101196
负 | 实际值：2.0 | 预测值（含误差范围）：0.9613782465457916
负 | 实际值：-3.0 | 预测值（含误差范围）：0.1240612268447876
胜 | 实际值：3.0 | 预测值（含误差范围）：3.2156351804733276
胜 | 实际值：0.0 | 预测值（含误差范围）：0.11514604091644287
负 | 实际值：-3.0 | 预测值（含误差范围）：0.40586256980895996
负 | 实际值：2.0 | 预测值（含误差范围）：3.383818507194519
负 | 实际值：2.0 | 预测值（含误差范围）：0.8762936890125275
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.596068263053894
负 | 实际值：0.0 | 预测值（含误差范围）：1.795750081539154
负 | 实际值：3.0 | 预测值（含误差范围）：1.6795268952846527
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8160814046859741
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.3615022897720337
胜 | 实际值：1.0 | 预测值（含误差范围）：0.7003711462020874
负 | 实际值：-1.0 | 预测值（含误差范围）：0.2691507339477539
负 | 实际值：-2.0 | 预测值（含误差范围）：0.9338716566562653
胜 | 实际值：4.0 | 预测值（含误差范围）：3.786161780357361
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.12097799777984619
负 | 实际值：-1.0 | 预测值（含误差范围）：2.0895885825157166
负 | 实际值：2.0 | 预测值（含误差范围）：3.043156385421753
负 | 实际值：-2.0 | 预测值（含误差范围）：0.6629529595375061
胜 | 实际值：2.0 | 预测值（含误差范围）：2.773674249649048
负 | 实际值：-2.0 | 预测值（含误差范围）：0.47687238454818726
负 | 实际值：-1.0 | 预测值（含误差范围）：2.2678253650665283
负 | 实际值：2.0 | 预测值（含误差范围）：3.5642844438552856
负 | 实际值：-1.0 | 预测值（含误差范围）：0.9226934611797333
胜 | 实际值：2.0 | 预测值（含误差范围）：1.510744258761406
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.12499642372131348
负 | 实际值：-2.0 | 预测值（含误差范围）：0.33654916286468506
负 | 实际值：0.0 | 预测值（含误差范围）：2.0321103930473328
负 | 实际值：-1.0 | 预测值（含误差范围）：2.0144471526145935
负 | 实际值：1.0 | 预测值（含误差范围）：3.1750861406326294
胜 | 实际值：2.0 | 预测值（含误差范围）：1.9908810257911682
负 | 实际值：1.0 | 预测值（含误差范围）：-0.02272927761077881
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.2557988166809082
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.20277786254882812
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.4012417793273926
负 | 实际值：-1.0 | 预测值（含误差范围）：2.406708836555481
负 | 实际值：0.0 | 预测值（含误差范围）：3.1758651733398438
第5次训练后，新的数据集测试
误差范围：1.3059135675430298
负 | 实际值：2.0 | 预测值（含误差范围）：3.4424461126327515
负 | 实际值：2.0 | 预测值（含误差范围）：0.5448502898216248
负 | 实际值：-3.0 | 预测值（含误差范围）：-1.0673695802688599
负 | 实际值：3.0 | 预测值（含误差范围）：1.8885949850082397
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8294092416763306
负 | 实际值：1.0 | 预测值（含误差范围）：-0.2775716781616211
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.8181256055831909
负 | 实际值：0.0 | 预测值（含误差范围）：3.6112250089645386
负 | 实际值：2.0 | 预测值（含误差范围）：3.599803328514099
负 | 实际值：-1.0 | 预测值（含误差范围）：0.33360183238983154
胜 | 实际值：1.0 | 预测值（含误差范围）：1.444348156452179
负 | 实际值：1.0 | 预测值（含误差范围）：-0.051496148109436035
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.7850319147109985
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8194566965103149
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.06112802028656006
负 | 实际值：0.0 | 预测值（含误差范围）：1.3768162727355957
负 | 实际值：3.0 | 预测值（含误差范围）：1.2530061900615692
负 | 实际值：-4.0 | 预测值（含误差范围）：-1.1078397035598755
胜 | 实际值：3.0 | 预测值（含误差范围）：3.1056874990463257
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.3240029811859131
胜 | 实际值：2.0 | 预测值（含误差范围）：2.0593265295028687
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.2628086805343628
负 | 实际值：1.0 | 预测值（含误差范围）：3.5779513120651245
负 | 实际值：-1.0 | 预测值（含误差范围）：2.2834364771842957
胜 | 实际值：4.0 | 预测值（含误差范围）：3.4136017560958862
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.8361729383468628
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.9671097993850708
负 | 实际值：1.0 | 预测值（含误差范围）：3.5039762258529663
负 | 实际值：0.0 | 预测值（含误差范围）：2.1247997283935547
负 | 实际值：-1.0 | 预测值（含误差范围）：1.5265071094036102
负 | 实际值：1.0 | 预测值（含误差范围）：2.7397392988204956
胜 | 实际值：1.0 | 预测值（含误差范围）：0.8815535008907318
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.4703904390335083
负 | 实际值：3.0 | 预测值（含误差范围）：1.8395453691482544
负 | 实际值：1.0 | 预测值（含误差范围）：-0.9482156038284302
胜 | 实际值：-2.0 | 预测值（含误差范围）：-1.5352154970169067
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.38109290599823
负 | 实际值：-1.0 | 预测值（含误差范围）：1.2102473080158234
负 | 实际值：4.0 | 预测值（含误差范围）：2.828272819519043
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.9815865755081177
胜 | 实际值：-2.0 | 预测值（含误差范围）：-1.07046377658844
负 | 实际值：2.0 | 预测值（含误差范围）：0.862207442522049
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.7688828706741333
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.7992149591445923
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.7527350187301636
负 | 实际值：3.0 | 预测值（含误差范围）：4.361180901527405
负 | 实际值：-1.0 | 预测值（含误差范围）：0.24380314350128174
负 | 实际值：-2.0 | 预测值（含误差范围）：1.641393780708313
负 | 实际值：0.0 | 预测值（含误差范围）：4.4498056173324585
胜 | 实际值：4.0 | 预测值（含误差范围）：4.1588214635849
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.6834708452224731
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.8534671068191528
负 | 实际值：2.0 | 预测值（含误差范围）：3.7306350469589233
负 | 实际值：-1.0 | 预测值（含误差范围）：1.0868779718875885
负 | 实际值：0.0 | 预测值（含误差范围）：2.0695570707321167
负 | 实际值：3.0 | 预测值（含误差范围）：1.8630379438400269
胜 | 实际值：-1.0 | 预测值（含误差范围）：-1.0346451997756958
负 | 实际值：1.0 | 预测值（含误差范围）：-0.6031463146209717
负 | 实际值：-3.0 | 预测值（含误差范围）：-1.1025198698043823
胜 | 实际值：2.0 | 预测值（含误差范围）：1.9164915680885315
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.4297581911087036
负 | 实际值：0.0 | 预测值（含误差范围）：3.145516037940979
胜 | 实际值：3.0 | 预测值（含误差范围）：3.0950366258621216
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.6068111658096313
胜 | 实际值：2.0 | 预测值（含误差范围）：2.6712902784347534
负 | 实际值：-2.0 | 预测值（含误差范围）：0.1833876371383667
负 | 实际值：0.0 | 预测值（含误差范围）：2.8390512466430664
胜 | 实际值：3.0 | 预测值（含误差范围）：2.776669144630432
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.7130361795425415
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.19866454601287842
负 | 实际值：0.0 | 预测值（含误差范围）：1.3463514149188995
负 | 实际值：3.0 | 预测值（含误差范围）：1.2198348492383957
负 | 实际值：-4.0 | 预测值（含误差范围）：-1.1988588571548462
负 | 实际值：0.0 | 预测值（含误差范围）：2.5352635383605957
负 | 实际值：1.0 | 预测值（含误差范围）：2.7044659852981567
胜 | 实际值：1.0 | 预测值（含误差范围）：0.8608317077159882
负 | 实际值：1.0 | 预测值（含误差范围）：-0.3569847345352173
负 | 实际值：1.0 | 预测值（含误差范围）：-0.9537867307662964
负 | 实际值：-4.0 | 预测值（含误差范围）：-1.3955994844436646
胜 | 实际值：2.0 | 预测值（含误差范围）：2.3087048530578613
负 | 实际值：1.0 | 预测值（含误差范围）：-0.13504040241241455
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.8123475313186646
负 | 实际值：1.0 | 预测值（含误差范围）：-0.10694348812103271
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.6423312425613403
负 | 实际值：-1.0 | 预测值（含误差范围）：0.3219531774520874
负 | 实际值：0.0 | 预测值（含误差范围）：1.8463516235351562
负 | 实际值：0.0 | 预测值（含误差范围）：1.8329734206199646
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6302572190761566
负 | 实际值：1.0 | 预测值（含误差范围）：3.115475296974182
负 | 实际值：0.0 | 预测值（含误差范围）：1.4727272689342499
胜 | 实际值：2.0 | 预测值（含误差范围）：1.3962482810020447
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.6232961416244507
胜 | 实际值：3.0 | 预测值（含误差范围）：3.0694552659988403
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.2431018352508545
负 | 实际值：-1.0 | 预测值（含误差范围）：2.205041766166687
负 | 实际值：2.0 | 预测值（含误差范围）：3.76553213596344
负 | 实际值：-1.0 | 预测值（含误差范围）：0.6821988821029663
胜 | 实际值：1.0 | 预测值（含误差范围）：1.9505707025527954
负 | 实际值：2.0 | 预测值（含误差范围）：0.5162873268127441
负 | 实际值：-3.0 | 预测值（含误差范围）：-1.0013328790664673
负 | 实际值：1.0 | 预测值（含误差范围）：2.01386296749115
负 | 实际值：-2.0 | 预测值（含误差范围）：0.71955406665802
负 | 实际值：0.0 | 预测值（含误差范围）：3.4414957761764526
负 | 实际值：2.0 | 预测值（含误差范围）：3.2597638368606567
负 | 实际值：-2.0 | 预测值（含误差范围）：0.1005934476852417
负 | 实际值：1.0 | 预测值（含误差范围）：2.859584927558899
负 | 实际值：-1.0 | 预测值（含误差范围）：1.3300258833914995
负 | 实际值：4.0 | 预测值（含误差范围）：2.586076259613037
负 | 实际值：0.0 | 预测值（含误差范围）：-1.1092818975448608
负 | 实际值：0.0 | 预测值（含误差范围）：-1.171744465827942
负 | 实际值：0.0 | 预测值（含误差范围）：-1.056444764137268
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.919211745262146
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.8594053983688354
胜 | 实际值：2.0 | 预测值（含误差范围）：2.7589441537857056
胜 | 实际值：0.0 | 预测值（含误差范围）：0.06791162490844727
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.08877313137054443
负 | 实际值：0.0 | 预测值（含误差范围）：4.155387759208679
负 | 实际值：3.0 | 预测值（含误差范围）：4.041096091270447
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.21962988376617432
胜 | 实际值：1.0 | 预测值（含误差范围）：0.9264082610607147
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.14483606815338135
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.15609896183013916
负 | 实际值：0.0 | 预测值（含误差范围）：1.4324238300323486
负 | 实际值：0.0 | 预测值（含误差范围）：1.4269752502441406
胜 | 实际值：1.0 | 预测值（含误差范围）：1.276930870488286
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.09627819061279297
负 | 实际值：0.0 | 预测值（含误差范围）：1.2225388139486313
胜 | 实际值：1.0 | 预测值（含误差范围）：1.2631377875804901
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.06762099266052246
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.02741527557373047
胜 | 实际值：2.0 | 预测值（含误差范围）：2.946969151496887
负 | 实际值：-1.0 | 预测值（含误差范围）：0.18291425704956055
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6465087532997131
负 | 实际值：-1.0 | 预测值（含误差范围）：0.5700125098228455
负 | 实际值：-1.0 | 预测值（含误差范围）：2.1105197072029114
胜 | 实际值：3.0 | 预测值（含误差范围）：3.667467951774597
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.15919697284698486
负 | 实际值：0.0 | 预测值（含误差范围）：4.7970699071884155
负 | 实际值：2.0 | 预测值（含误差范围）：4.583539366722107
负 | 实际值：0.0 | 预测值（含误差范围）：1.4522883594036102
负 | 实际值：-1.0 | 预测值（含误差范围）：1.134336695075035
胜 | 实际值：3.0 | 预测值（含误差范围）：2.5365813970565796
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.6998611688613892
负 | 实际值：0.0 | 预测值（含误差范围）：2.4451181888580322
负 | 实际值：-1.0 | 预测值（含误差范围）：2.5515280961990356
胜 | 实际值：3.0 | 预测值（含误差范围）：3.6385873556137085
负 | 实际值：1.0 | 预测值（含误差范围）：-0.352752685546875
负 | 实际值：-3.0 | 预测值（含误差范围）：-1.0694140195846558
胜 | 实际值：1.0 | 预测值（含误差范围）：1.8738800883293152
负 | 实际值：-1.0 | 预测值（含误差范围）：0.5632752180099487
胜 | 实际值：1.0 | 预测值（含误差范围）：1.8583177328109741
胜 | 实际值：0.0 | 预测值（含误差范围）：0.3088414669036865
胜 | 实际值：1.0 | 预测值（含误差范围）：0.17762064933776855
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.6193293333053589
负 | 实际值：-1.0 | 预测值（含误差范围）：0.2493964433670044
胜 | 实际值：2.0 | 预测值（含误差范围）：1.7634076178073883
胜 | 实际值：0.0 | 预测值（含误差范围）：-0.4363356828689575
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.40017008781433105
负 | 实际值：-1.0 | 预测值（含误差范围）：2.3414825201034546
