误差范围：1.6121102571487427
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6030745804309845
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6265221005305648
负 | 实际值：3.0 | 预测值（含误差范围）：1.6016545677557588
负 | 实际值：-5.0 | 预测值（含误差范围）：1.6306021474301815
负 | 实际值：3.0 | 预测值（含误差范围）：1.5792174860835075
负 | 实际值：0.0 | 预测值（含误差范围）：1.6254910416901112
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6213561110198498
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6313107497990131
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6078027267940342
负 | 实际值：-1.0 | 预测值（含误差范围）：1.63038126565516
负 | 实际值：0.0 | 预测值（含误差范围）：1.6213354542851448
胜 | 实际值：1.0 | 预测值（含误差范围）：1.619772712700069
负 | 实际值：0.0 | 预测值（含误差范围）：1.6254439149051905
负 | 实际值：-4.0 | 预测值（含误差范围）：1.6261925473809242
负 | 实际值：4.0 | 预测值（含误差范围）：1.5814537797123194
负 | 实际值：-5.0 | 预测值（含误差范围）：1.6300188712775707
负 | 实际值：4.0 | 预测值（含误差范围）：1.573848009109497
负 | 实际值：-1.0 | 预测值（含误差范围）：1.63085743971169
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6117596863768995
胜 | 实际值：2.0 | 预测值（含误差范围）：1.600467812269926
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6263434877619147
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6335097290575504
负 | 实际值：-1.0 | 预测值（含误差范围）：1.613981787697412
负 | 实际值：-1.0 | 预测值（含误差范围）：1.60338444262743
负 | 实际值：0.0 | 预测值（含误差范围）：1.5964402258396149
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6014833096414804
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6217365246266127
负 | 实际值：0.0 | 预测值（含误差范围）：1.6092984166461974
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6100331379566342
负 | 实际值：0.0 | 预测值（含误差范围）：1.6183992493897676
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6178793590515852
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6077951341867447
负 | 实际值：0.0 | 预测值（含误差范围）：1.6034595528617501
胜 | 实际值：1.0 | 预测值（含误差范围）：1.606512020342052
负 | 实际值：0.0 | 预测值（含误差范围）：1.6155315022915602
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6140761664137244
负 | 实际值：0.0 | 预测值（含误差范围）：1.6180115826427937
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6175057962536812
负 | 实际值：3.0 | 预测值（含误差范围）：1.6097528152167797
负 | 实际值：-6.0 | 预测值（含误差范围）：1.6294937450438738
负 | 实际值：3.0 | 预测值（含误差范围）：1.574518870562315
负 | 实际值：-3.0 | 预测值（含误差范围）：1.6178978574462235
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5839286334812641
胜 | 实际值：1.0 | 预测值（含误差范围）：1.614675831515342
胜 | 实际值：1.0 | 预测值（含误差范围）：1.622984815388918
负 | 实际值：0.0 | 预测值（含误差范围）：1.6259817499667406
负 | 实际值：-2.0 | 预测值（含误差范围）：1.624369254335761
负 | 实际值：0.0 | 预测值（含误差范围）：1.602526107802987
胜 | 实际值：1.0 | 预测值（含误差范围）：1.6041308715939522
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6160470903851092
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6263245902955532
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6243278067559004
负 | 实际值：-2.0 | 预测值（含误差范围）：1.5991544807329774
胜 | 实际值：2.0 | 预测值（含误差范围）：1.5896151587367058
负 | 实际值：4.0 | 预测值（含误差范围）：1.6118044664617628
负 | 实际值：-2.0 | 预测值（含误差范围）：1.6393034532666206
负 | 实际值：-1.0 | 预测值（含误差范围）：1.626477962359786
胜 | 实际值：2.0 | 预测值（含误差范围）：1.608322523534298
负 | 实际值：-1.0 | 预测值（含误差范围）：1.6281423065811396
