2022-10-31 14:31:22按预测 胜率: 0|1, 0.0%
2022-10-31 14:31:22按补充 胜率: 1|1, 100.0%
********************
2022-10-31 15:59:20按预测 胜率: 3|8, 37.5%
2022-10-31 15:59:20按补充 胜率: 3|8, 37.5%
********************
2022-10-31 16:59:16按预测 胜率: 10|16, 62.5%
2022-10-31 16:59:16按补充 胜率: 3|16, 18.75%
********************
2022-10-31 20:59:58按预测 胜率: 8|20, 40.0%
2022-10-31 20:59:58按补充 胜率: 5|20, 25.0%
********************
2022-10-31 22:59:50按预测 胜率: 1|5, 0.2
2022-10-31 22:59:50按补充 胜率: 2|5, 0.4
********************
2022-10-31 23:59:46按预测 胜率: 5|14, 0.36
2022-10-31 23:59:46按补充 胜率: 7|14, 0.5
********************
2022-11-01 00:59:42按预测 胜率: 7|16, 0.44
2022-11-01 00:59:42按补充 胜率: 6|16, 0.38
********************
2022-11-01 01:59:38按预测 胜率: 6|19, 0.32
2022-11-01 01:59:38按补充 胜率: 11|19, 0.58
********************
2022-11-01 02:00:36按预测 胜率: 1|1, 1.0
2022-11-01 02:00:36按补充 胜率: 0|1, 0.0
********************
2022-11-01 02:59:34按预测 胜率: 7|24, 0.29
2022-11-01 02:59:34按补充 胜率: 13|24, 0.54
********************
2022-11-01 03:00:32按预测 胜率: 1|1, 1.0
2022-11-01 03:00:32按补充 胜率: 0|1, 0.0
********************
2022-11-01 03:59:30按预测 胜率: 12|30, 0.4
2022-11-01 03:59:30按补充 胜率: 14|30, 0.47
********************
2022-11-01 04:59:26按预测 胜率: 5|18, 0.28
2022-11-01 04:59:26按补充 胜率: 10|18, 0.56
********************
2022-11-01 05:59:22按预测 胜率: 7|21, 0.33
2022-11-01 05:59:22按补充 胜率: 10|21, 0.48
********************
2022-11-01 06:59:18按预测 胜率: 14|24, 0.58
2022-11-01 06:59:18按补充 胜率: 9|24, 0.38
********************
2022-11-01 07:59:14按预测 胜率: 9|25, 0.36
2022-11-01 07:59:14按补充 胜率: 11|25, 0.44
********************
2022-11-01 08:59:10按预测 胜率: 11|23, 0.48
2022-11-01 08:59:10按补充 胜率: 9|23, 0.39
********************
2022-11-01 09:00:08按预测 胜率: 0|1, 0.0
2022-11-01 09:00:08按补充 胜率: 1|1, 1.0
********************
